"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","22/07/2013","31/05/2014","Conor Coady","20","Sheffield Utd.","England",39,"300 Th. €  "," ","Liverpool"
"2","01/07/2013","30/06/2014","Armin Hodzic","18","Zeljeznicar","Bosnia-Herzegovina",28,"225 Th. €  "," ","Liverpool"
"3","19/07/2013","01/01/2014","Henoc Mukendi","19","Partick Thistle","Scotland",0,"50 Th. €  "," ","Liverpool"
"4","28/11/2013","31/12/2013","Adam Morgan","19","Yeovil Town","England",12,"-  "," ","Liverpool"
"5","09/01/2014","08/02/2014","Ryan McLaughlin","19","Barnsley FC","England",9,"-  "," ","Liverpool"
"6","11/03/2014","31/05/2014","Jakub Sokolik","20","Southend United","England",10,"-  "," ","Liverpool"
