"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","29/07/2013","30/06/2014","Pepe Reina","30","SSC Napoli","Italy",30,"10,00 Mill. €  "," ","Liverpool"
"2","02/09/2013","31/05/2014","Fabio Borini","22","Sunderland","England",32,"8,50 Mill. €  "," ","Liverpool"
"3","12/07/2013","30/06/2014","Suso","19","UD Almería","Spain",33,"5,00 Mill. €  "," ","Liverpool"
"4","27/08/2013","03/01/2015","Oussama Assaidi","25","Stoke City","England",19,"5,00 Mill. €  "," ","Liverpool"
"5","18/01/2014","30/06/2014","Tiago Ilori","20","Granada CF","Spain",9,"4,00 Mill. €  "," ","Liverpool"
"6","22/10/2013","31/05/2014","Andre Wisdom","20","Derby","England",34,"2,50 Mill. €  "," ","Liverpool"
"7","31/01/2014","30/06/2014","Sebastián Coates","23","Nacional","Uruguay",6,"2,50 Mill. €  "," ","Liverpool"
"8","01/08/2013","31/05/2014","Jack Robinson","19","Blackpool","England",34,"800 Th. €  "," ","Liverpool"
"9","23/07/2013","30/06/2014","Krisztián Adorján","20","FC Groningen","Netherlands",19,"750 Th. €  "," ","Liverpool"
"10","21/02/2014","31/05/2014","Jordon Ibe","18","Birmingham","England",11,"500 Th. €  "," ","Liverpool"
"11","10/07/2013","10/10/2013","Michael Ngoo","20","Yeovil Town","England",6,"150 Th. €  "," ","Liverpool"
"12","31/01/2014","31/05/2014","Michael Ngoo","21","Walsall","England",14,"150 Th. €  "," ","Liverpool"
"13","10/09/2013","08/10/2013","João Carlos Teixeira","20","Brentford","England",2,"-  "," ","Liverpool"
"14","28/11/2013","01/01/2014","Kristoffer Peterson","19","Tranmere Rovers","England",6,"-  "," ","Liverpool"
"15","28/11/2013","01/01/2014","Craig Roddan","20","Carlisle United","England",1,"-  "," ","Liverpool"
"16","04/01/2014","04/02/2014","Craig Roddan","20","Accrington","England",0,"-  "," ","Liverpool"
