"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"78","21/01/2016","30/06/2016","Papy Djilobodji","27","Werder Bremen","Germany",14
"79","25/01/2016","30/06/2016","Christian Atsu","24","Málaga CF","Spain",12
"80","30/01/2016","31/05/2016","Patrick Bamford","22","Norwich","England",7
"81","03/07/2015","30/06/2016","Mario Pasalic","20","Monaco","France",16
"82","31/08/2015","30/06/2016","Nathaniel Chalobah","20","SSC Napoli","Italy",5
"83","09/01/2015","31/05/2016","Tomas Kalas","21","Middlesbrough","England",26
"84","25/08/2015","30/06/2016","Marko Marin","26","Trabzonspor","Turkey",24
"85","31/08/2015","28/04/2016","Lucas Piazón","21","Reading","England",23
"86","02/09/2015","28/04/2016","Michael Hector","23","Reading","England",30
"87","22/07/2015","06/01/2016","Wallace Oliveira","21","Carpi","Italy",6
"88","14/08/2015","31/05/2016","Nathan Aké","20","Watford","England",24
"89","10/08/2015","30/06/2016","Cristian Cuevas","20","Sint-Truiden","Belgium",22
"90","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",8
"91","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",18
"92","24/07/2015","30/06/2016","Danilo Pantic","18","Vitesse","Netherlands",6
"93","22/07/2015","30/06/2016","Kenneth Omeruo","21","Kasimpasa","Turkey",25
"94","31/01/2015","30/06/2016","Stipe Perica","19","Udinese Calcio","Italy",11
"95","03/08/2015","30/06/2016","Matej Delac","22","FK Sarajevo","Bosnia-Herzegovina",12
"96","03/08/2015","31/12/2015","Ulises Dávila","24","Vitória Setúbal","Portugal",5
"97","06/08/2015","30/06/2016","Todd Kane","21","NEC Nijmegen","Netherlands",31
"98","18/03/2016","12/06/2016","Jamal Blackman","22","Östersund","Sweden",12
"99","31/08/2016","30/06/2017","Juan Cuadrado","28","Juventus","Italy",30
"100","10/07/2015","30/06/2017","Andreas Christensen","19","Bor. M'gladbach","Germany",31
"101","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",15
"102","30/08/2016","31/05/2017","Loïc Rémy","29","Crystal Palace","England",5
"103","02/08/2016","30/06/2017","Abdul Rahman Baba","22","FC Schalke 04","Germany",13
"104","12/08/2016","30/06/2017","Bertrand Traoré","20","AFC Ajax","Netherlands",24
"105","27/08/2016","30/06/2017","Mario Pasalic","21","AC Milan","Italy",24
"106","30/08/2016","31/12/2016","Kenedy","20","Watford","England",1
"107","01/07/2015","30/06/2017","Lewis Baker","20","Vitesse","Netherlands",33
"108","01/07/2016","08/01/2017","Nathan Aké","21","Bournemouth","England",10
"109","30/08/2016","14/01/2017","Patrick Bamford","22","Burnley","England",6
"110","31/08/2016","30/06/2017","Christian Atsu","24","Newcastle","England",32
"111","13/07/2016","31/05/2017","Tomas Kalas","23","Fulham","England",36
"112","14/08/2016","30/06/2017","Michael Hector","24","E. Frankfurt","Germany",22
"113","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",23
"114","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",29
"115","31/08/2016","30/06/2017","Kenneth Omeruo","22","Alanyaspor","Turkey",26
"116","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",0
"117","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",27
"118","22/07/2016","30/06/2017","Matej Delac","23","Mouscron","Belgium",23
"119","31/08/2016","30/06/2017","Cristian Cuevas","21","Sint-Truiden","Belgium",18
"120","12/08/2016","30/06/2017","Danilo Pantic","19","SBV Excelsior","Netherlands",9
"121","15/08/2016","31/05/2017","Jamal Blackman","22","Wycombe","England",42
"122","31/01/2018","30/06/2018","Michy Batshuayi","24","Bor. Dortmund","Germany",10
"123","12/07/2017","31/05/2018","Ruben Loftus-Cheek","21","Crystal Palace","England",24
"124","21/07/2017","31/05/2018","Kurt Zouma","22","Stoke City","England",34
"125","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",28
"126","04/07/2017","31/05/2018","Tammy Abraham","19","Swansea","England",31
"127","23/01/2018","31/05/2019","Kenedy","21","Newcastle","England",13
"128","02/08/2017","30/06/2018","Mario Pasalic","22","Spartak Moscow","Russia",21
"129","29/01/2018","30/06/2019","Abdul Rahman Baba","23","FC Schalke 04","Germany",1
"130","11/08/2017","31/05/2018","Lewis Baker","22","Middlesbrough","England",12
"131","27/07/2017","31/05/2018","Tomas Kalas","24","Fulham","England",33
"132","29/01/2018","17/05/2018","Charly Musonda Jr.","21","Celtic","Scotland",0
"133","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",32
"134","27/07/2017","31/05/2018","Michael Hector","25","Hull City","England",36
"135","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",22
"136","01/07/2017","30/06/2019","Danilo Pantic","20","Partizan","Serbia",31
"137","25/08/2017","30/06/2018","Kenneth Omeruo","23","Kasimpasa","Turkey",28
"138","11/07/2017","31/05/2018","Ola Aina","20","Hull City","England",44
"139","01/07/2017","30/01/2018","Todd Kane","23","FC Groningen","Netherlands",11
"140","31/08/2017","31/12/2017","Nathan","21","SC Amiens","France",1
"141","31/01/2018","31/05/2018","Todd Kane","24","Oxford United","England",17
"142","18/01/2018","30/06/2018","Nathan","21","Belenenses","Portugal",13
"143","27/07/2017","31/05/2018","Jamal Blackman","23","Sheffield Utd.","England",31
"144","10/08/2018","30/06/2019","Michy Batshuayi","24","Valencia","Spain",13
"145","13/08/2018","30/06/2019","Tiemoué Bakayoko","23","AC Milan","Italy",11
"146","09/08/2018","30/06/2019","Kurt Zouma","23","Everton","England",12
"147","23/01/2018","31/05/2019","Kenedy","21","Newcastle","England",14
"148","31/08/2018","31/05/2019","Tammy Abraham","20","Aston Villa","England",15
"149","29/01/2018","30/06/2019","Abdul Rahman Baba","23","FC Schalke 04","Germany",2
"150","25/07/2018","30/06/2019","Mario Pasalic","23","Atalanta","Italy",13
"151","01/07/2018","31/05/2019","Lewis Baker","23","Leeds","England",10
"152","14/08/2018","30/06/2019","Ola Aina","21","Torino","Italy",13
"153","23/08/2018","31/05/2019","Tomas Kalas","25","Bristol City","England",13
"154","06/08/2018","30/06/2019","Matt Miazga","23","FC Nantes","France",8
"155","31/08/2018","31/05/2019","Michael Hector","26","Sheff Wed","England",13
"156","31/08/2018","30/06/2019","Charly Musonda Jr.","21","Vitesse","Netherlands",0
"157","01/07/2017","30/06/2019","Danilo Pantic","20","Partizan","Serbia",19
"158","15/08/2018","30/06/2019","Kenneth Omeruo","24","CD Leganés","Spain",9
"159","06/07/2018","30/06/2019","Eduardo","35","Vitesse","Netherlands",15
"160","17/07/2018","31/05/2019","Todd Kane","24","Hull City","England",19
"161","24/07/2018","30/06/2019","Nathan","22","Atlético-MG","Brazil",0
"162","30/08/2018","31/05/2019","Isaiah Brown","21","Leeds","England",0
"163","17/07/2018","31/05/2019","Mason Mount","19","Derby","England",19
"164","06/08/2018","31/05/2019","Fikayo Tomori","20","Derby","England",19
"165","02/07/2018","30/06/2019","Jake Clarke-Salter","20","Vitesse","Netherlands",12
"166","30/07/2018","31/05/2019","Kasey Palmer","21","Blackburn","England",11
"167","01/07/2018","31/05/2019","Trevoh Chalobah","18","Ipswich","England",20
"168","27/07/2018","31/05/2019","Victorien Angban","21","FC Metz","France",12
"169","31/08/2018","30/06/2019","Fankaty Dabo","22","Sparta R.","Netherlands",6
"170","12/07/2018","30/06/2019","Joao Rodríguez","22","CD Tenerife","Spain",10
"171","09/08/2018","31/05/2019","Jay Dasilva","20","Bristol City","England",8
"172","21/07/2018","31/05/2019","Charlie Colkett","21","Shrewsbury","England",1
"173","01/07/2018","31/05/2019","Reece James","18","Wigan","England",21
"174","30/08/2018","31/12/2018","Ike Ugbo","19","Scunthorpe Utd.","England",13
"175","31/08/2018","30/06/2019","Kylian Hazard","23","Cercle Brugge","Belgium",8
"176","10/08/2018","30/06/2019","Josimar Quintero","21","Lleida Esportiu","Spain",3
"177","14/07/2018","30/06/2019","Kyle Scott","20","Telstar","Netherlands",14
"178","01/07/2018","31/05/2019","Ruben Sammut","20","Falkirk FC","Scotland",9
"179","01/07/2018","31/05/2019","Nathan Baxter","19","Yeovil Town","England",16
"180","01/07/2018","31/05/2019","Dujon Sterling","18","Coventry","England",15
"181","26/07/2018","31/05/2019","Jacob Maddox","19","Cheltenham Town","England",18
"182","31/08/2018","02/01/2019","Bradley Collins","21","Burton Albion","England",8
"183","25/07/2017","10/01/2018","Isaiah Brown","20","Brighton","England",13
"184","24/07/2017","30/06/2018","Mason Mount","18","Vitesse","Netherlands",29
"185","28/08/2017","31/05/2018","Jeremie Boga","20","Birmingham","England",31
"186","04/07/2017","02/01/2018","Kasey Palmer","20","Huddersfield","England",4
"187","31/01/2018","31/05/2018","Kasey Palmer","21","Derby","England",15
"188","28/07/2017","31/05/2018","Victorien Angban","20","Waasl.-Beveren","Belgium",25
"189","31/08/2017","31/05/2018","Fikayo Tomori","19","Hull City","England",25
"190","08/01/2018","31/05/2018","Jake Clarke-Salter","20","Sunderland","England",11
"191","01/07/2017","30/06/2018","Fankaty Dabo","21","Vitesse","Netherlands",26
"192","06/09/2017","30/06/2018","Joao Rodríguez","21","Tampico Madero","Mexico",9
"193","06/07/2017","31/01/2018","Charlie Colkett","20","Vitesse","Netherlands",6
"194","17/07/2017","03/01/2018","Ike Ugbo","18","Barnsley FC","England",16
"195","21/07/2017","31/05/2018","Jay Dasilva","19","Charlton","England",38
"196","04/01/2018","31/05/2018","Ike Ugbo","19","MK Dons","England",15
"197","05/07/2017","31/12/2017","Josimar Quintero","20","Rostov","Russia",0
"198","17/01/2018","30/06/2018","Josimar Quintero","20","Betis B","Spain",6
"199","31/08/2017","31/05/2018","Jordan Houghton","21","Doncaster","England",37
"200","22/02/2018","30/06/2018","Mitchell Beeney","22","Sligo Rovers","Ireland",26
"201","02/07/2017","31/05/2018","Nathan Baxter","18","Woking FC","England",42
"202","07/07/2017","31/05/2018","Bradley Collins","20","Forest Green","England",39
"203","28/07/2017","31/05/2018","Jared Thompson","18","Chippenham","England",0
"204","31/08/2017","31/05/2018","Charlie Wakefield","19","Stevenage FC","England",0
"205","29/01/2016","02/01/2017","Charly Musonda Jr.","19","Real Betis","Spain",8
"206","05/08/2016","31/05/2017","Tammy Abraham","18","Bristol City","England",41
"207","06/07/2016","30/06/2017","Jeremie Boga","19","Granada CF","Spain",26
"208","06/01/2017","31/05/2017","Isaiah Brown","19","Huddersfield","England",15
"209","22/07/2016","30/06/2017","Victorien Angban","19","Granada CF","Spain",10
"210","15/08/2016","05/01/2017","Isaiah Brown","19","Rotherham","England",20
"211","15/07/2016","31/05/2017","Kasey Palmer","19","Huddersfield","England",24
"212","31/08/2016","06/01/2017","Islam Feruz","20","Mouscron","Belgium",7
"213","16/01/2017","30/06/2017","Joao Rodríguez","20","Cortuluá","Colombia",0
"214","06/07/2016","31/12/2016","Joao Rodríguez","20","Indep. Santa Fe","Colombia",0
"215","31/08/2016","31/05/2017","Jake Clarke-Salter","18","Bristol Rovers","England",12
"216","01/01/2017","31/05/2017","Jay Dasilva","18","Charlton","England",10
"217","11/01/2017","31/05/2017","Charlie Colkett","20","Swindon Town","England",19
"218","11/01/2017","31/05/2017","Islam Feruz","21","Swindon Town","England",4
"219","11/01/2017","31/05/2017","Fankaty Dabo","21","Swindon Town","England",15
"220","23/01/2017","31/05/2017","Fikayo Tomori","19","Brighton","England",9
"221","29/01/2017","30/06/2017","Mukhtar Ali","19","Vitesse","Netherlands",6
"222","15/03/2016","22/07/2016","Alex Davey","21","Stabaek IF","Norway",0
