"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","19/08/2014","30/06/2015","Nani","27","Sporting CP","Portugal",27,"16,00 Mill. €  "," ","Manchester United"
"2","01/09/2014","30/06/2015","Chicharito","26","Real Madrid","Spain",23,"10,00 Mill. €  "," ","Manchester United"
"3","01/09/2014","31/05/2015","Tom Cleverley","25","Aston Villa","England",31,"9,00 Mill. €  "," ","Manchester United"
"4","28/08/2014","01/02/2015","Wilfried Zaha","21","Crystal Palace","England",31,"8,00 Mill. €  "," ","Manchester United"
"5","01/09/2014","02/01/2015","Nick Powell","20","Leicester","England",3,"4,00 Mill. €  "," ","Manchester United"
"6","11/08/2014","30/06/2015","Ángelo Henríquez","20","Dinamo Zagreb","Croatia",25,"3,50 Mill. €  "," ","Manchester United"
"7","02/02/2015","31/05/2015","Jesse Lingard","22","Derby","England",14,"1,00 Mill. €  "," ","Manchester United"
"8","02/07/2014","30/06/2015","Vanja Milinkovic-Savic","17","Vojvodina","Serbia",17,"750 Th. €  "," ","Manchester United"
"9","30/01/2015","28/04/2015","Ben Amos","24","Bolton","England",9,"750 Th. €  "," ","Manchester United"
"10","01/09/2014","11/01/2015","Michael Keane","21","Burnley","England",21,"500 Th. €  "," ","Manchester United"
"11","22/01/2015","31/05/2015","Will Keane","22","Sheff Wed","England",13,"300 Th. €  "," ","Manchester United"
"12","27/10/2014","11/01/2015","Sam Johnstone","21","Doncaster","England",10,"250 Th. €  "," ","Manchester United"
"13","12/01/2015","31/05/2015","Sam Johnstone","21","Preston NE","England",22,"250 Th. €  "," ","Manchester United"
"14","26/11/2014","10/01/2015","Reece James","21","Rotherham","England",7,"-  "," ","Manchester United"
"15","26/03/2015","31/05/2015","Reece James","21","Huddersfield","England",6,"-  "," ","Manchester United"
"16","02/02/2015","31/05/2015","Saidy Janko","19","Bolton","England",10,"250 Th. €  "," ","Manchester United"
"17","27/01/2015","06/03/2015","Joe Rothwell","20","Blackpool","England",3,"100 Th. €  "," ","Manchester United"
"18","01/09/2014","30/06/2015","Guillermo Varela","21","RM Castilla","Spain",33,"-  "," ","Manchester United"
"19","08/01/2015","31/05/2015","Ben Pearson","20","Barnsley FC","England",22,"-  "," ","Manchester United"
