"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","07/01/2006","31/12/2006","Danny Simpson","19","Royal Antwerp","Belgium",16,"50 Th. €  "," ","Manchester United"
"2","25/01/2007","31/05/2007","Danny Simpson","20","Sunderland","England",14,"50 Th. €  "," ","Manchester United"
"3","01/08/2006","01/05/2007","Darron Gibson","18","Royal Antwerp","Belgium",25,"-  "," ","Manchester United"
"4","01/01/2007","01/05/2007","Ryan Shawcross","19","Royal Antwerp","Belgium",16,"-  "," ","Manchester United"
