"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","17/08/2011","01/09/2011","Ben Gordon","20","Peterborough","England",1,"300 Th. €  "," ","Chelsea"
"2","11/01/2012","13/05/2012","Ben Gordon","20","Kilmarnock FC","Scotland",17,"300 Th. €  "," ","Chelsea"
"3","11/07/2011","23/12/2011","Sam Walker","19","Northampt. Town","England",21,"-  "," ","Chelsea"
"4","19/01/2012","01/05/2012","Sam Walker","20","Yeovil Town","England",20,"-  "," ","Chelsea"
"5","03/03/2012","01/06/2012","Reece Loudon","18","Potters","England",0,"-  "," ","Chelsea"
"6","01/06/2012","05/07/2012","Jhon Pírez","19","Defensor U19","Uruguay",0,"-  "," ","Chelsea"
