"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/08/2012","30/06/2013","Nicklas Bendtner","24","Juventus","Italy",9,"5,50 Mill. €  "," ","Arsenal"
"2","18/07/2011","30/06/2013","Denílson","23","São Paulo","Brazil",17,"5,00 Mill. €  "," ","Arsenal"
"3","05/01/2013","30/06/2013","Johan Djourou","25","Hannover 96","Germany",14,"5,00 Mill. €  "," ","Arsenal"
"4","04/01/2013","31/05/2013","Marouane Chamakh","28","West Ham","England",3,"3,50 Mill. €  "," ","Arsenal"
"5","05/07/2012","30/06/2013","Joel Campbell","20","Real Betis","Spain",28,"2,50 Mill. €  "," ","Arsenal"
"6","13/08/2012","31/05/2013","Ryo Miyaichi","19","Wigan","England",4,"2,50 Mill. €  "," ","Arsenal"
"7","11/02/2013","30/06/2013","André Santos","29","Grêmio","Brazil",0,"2,50 Mill. €  "," ","Arsenal"
"8","31/08/2012","30/06/2013","Ju-yeong Park","27","Celta de Vigo","Spain",21,"2,00 Mill. €  "," ","Arsenal"
"9","19/11/2012","31/12/2012","Emmanuel Frimpong","20","Charlton","England",6,"1,50 Mill. €  "," ","Arsenal"
"10","25/01/2013","31/05/2013","Emmanuel Frimpong","21","Fulham","England",6,"1,50 Mill. €  "," ","Arsenal"
"11","27/09/2012","11/12/2012","Craig Eastmond","21","Colchester Utd.","England",12,"500 Th. €  "," ","Arsenal"
"12","15/08/2012","30/06/2013","Wellington Silva","19","Ponferradina","Spain",20,"400 Th. €  "," ","Arsenal"
"13","21/09/2012","21/12/2012","Conor Henderson","21","Coventry","England",2,"-  "," ","Arsenal"
"14","27/09/2012","27/12/2012","Sanchez Watt","21","Colchester Utd.","England",6,"-  "," ","Arsenal"
"15","29/08/2012","31/05/2013","Philip Roberts","18","Inverness Cal.","Scotland",17,"250 Th. €  "," ","Arsenal"
"16","10/08/2012","31/01/2013","Samuel Galindo","20","CD Lugo","Spain",6,"200 Th. €  "," ","Arsenal"
"17","03/08/2012","31/01/2013","Benik Afobe","19","Bolton","England",20,"-  "," ","Arsenal"
"18","28/08/2012","30/01/2013","Daniel Boateng","19","Oxford United","England",2,"-  "," ","Arsenal"
"19","07/09/2012","31/05/2013","Chuks Aneke","19","Crewe Alexandra","England",30,"-  "," ","Arsenal"
"20","08/02/2013","31/05/2013","Benik Afobe","19","Millwall","England",5,"-  "," ","Arsenal"
"21","01/03/2013","01/05/2013","Anthony Jeffrey","18","Stevenage FC","England",1,"-  "," ","Arsenal"
"22","07/02/2013","30/06/2013","Samuel Galindo","20","Wilstermann ","Bolivia",0,"-  "," ","Arsenal"
