"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","10/08/2017","31/05/2018","Tim Fosu-Mensah","19","Crystal Palace","England",21,"7,00 Mill. €  "," ","Manchester United"
"2","01/09/2017","30/06/2018","Andreas Pereira","21","Valencia","Spain",23,"6,00 Mill. €  "," ","Manchester United"
"3","07/08/2017","16/01/2018","Cameron Borthwick-Jackson","20","Leeds","England",1,"3,00 Mill. €  "," ","Manchester United"
"4","14/07/2017","31/05/2018","Sam Johnstone","24","Aston Villa","England",45,"2,50 Mill. €  "," ","Manchester United"
"5","10/01/2018","31/05/2018","James Wilson","22","Sheffield Utd.","England",8,"2,00 Mill. €  "," ","Manchester United"
"6","25/01/2018","31/05/2018","Axel Tuanzebe","20","Aston Villa","England",5,"1,00 Mill. €  "," ","Manchester United"
