"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","29/01/2018","31/05/2018","Daniel Sturridge","28","West Brom","England",6,"15,00 Mill. €  "," ","Liverpool"
"2","31/08/2017","30/06/2018","Divock Origi","22","VfL Wolfsburg","Germany",31,"10,00 Mill. €  "," ","Liverpool"
"3","31/01/2018","30/06/2018","Lazar Markovic","23","RSC Anderlecht","Belgium",1,"8,00 Mill. €  "," ","Liverpool"
"4","17/01/2018","31/05/2018","Marko Grujic","21","Cardiff","England",13,"5,00 Mill. €  "," ","Liverpool"
"5","16/08/2017","31/05/2018","Sheyi Ojo","20","Fulham","England",22,"2,50 Mill. €  "," ","Liverpool"
"6","31/01/2018","31/05/2018","Jon Flanagan","25","Bolton","England",9,"2,50 Mill. €  "," ","Liverpool"
"7","28/07/2017","14/05/2018","Connor Randall","21","Heart of Midl.","Scotland",22,"500 Th. €  "," ","Liverpool"
"8","31/08/2017","01/01/2018","Jordan Williams","21","Rochdale","England",12,"100 Th. €  "," ","Liverpool"
"9","31/07/2017","30/06/2018","Taiwo Awoniyi","19","Mouscron","Belgium",27,"1,50 Mill. €  "," ","Liverpool"
"10","31/08/2017","08/01/2018","Ryan Kent","20","SC Freiburg","Germany",6,"1,50 Mill. €  "," ","Liverpool"
"11","12/01/2018","31/05/2018","Ryan Kent","21","Bristol City","England",10,"1,50 Mill. €  "," ","Liverpool"
"12","31/08/2017","30/06/2018","Allan","20","Apol. Limassol","Cyprus",15,"1,25 Mill. €  "," ","Liverpool"
"13","31/01/2018","31/05/2018","Ovie Ejaria","20","Sunderland","England",11,"1,00 Mill. €  "," ","Liverpool"
"14","31/01/2018","31/05/2018","Harry Wilson","20","Hull City","England",13,"1,00 Mill. €  "," ","Liverpool"
"15","26/07/2017","30/06/2018","Pedro Chirivella","20","Willem II","Netherlands",31,"750 Th. €  "," ","Liverpool"
"16","06/02/2017","31/12/2017","Brooks Lennon","19","Salt Lake","United States",33,"400 Th. €  "," ","Liverpool"
"17","31/01/2018","30/06/2018","Anderson Arroyo","18","RCD Mallorca B ","Spain",0,"150 Th. €  "," ","Liverpool"
"18","01/08/2017","01/01/2018","Shamal George","19","Carlisle United","England",4,"-  "," ","Liverpool"
"19","31/08/2017","01/01/2018","Toni Gomes","18","Forest Green","England",9,"-  "," ","Liverpool"
"20","05/01/2018","31/05/2018","Corey Whelan","20","Yeovil Town","England",7,"-  "," ","Liverpool"
"21","11/01/2018","31/05/2018","Matty Virtue","20","Notts County","England",13,"-  "," ","Liverpool"
"22","27/01/2018","31/05/2018","Andy Firth","21","Chester FC","England",11,"-  "," ","Liverpool"
