"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","31/01/2018","30/06/2018","Michy Batshuayi","24","Bor. Dortmund","Germany",10
"2","12/07/2017","31/05/2018","Ruben Loftus-Cheek","21","Crystal Palace","England",24
"3","21/07/2017","31/05/2018","Kurt Zouma","22","Stoke City","England",34
"4","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",28
"5","04/07/2017","31/05/2018","Tammy Abraham","19","Swansea","England",31
"6","23/01/2018","31/05/2019","Kenedy","21","Newcastle","England",13
"7","02/08/2017","30/06/2018","Mario Pasalic","22","Spartak Moscow","Russia",21
"8","29/01/2018","30/06/2019","Abdul Rahman Baba","23","FC Schalke 04","Germany",1
"9","11/08/2017","31/05/2018","Lewis Baker","22","Middlesbrough","England",12
"10","27/07/2017","31/05/2018","Tomas Kalas","24","Fulham","England",33
"11","29/01/2018","17/05/2018","Charly Musonda Jr.","21","Celtic","Scotland",0
"12","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",32
"13","27/07/2017","31/05/2018","Michael Hector","25","Hull City","England",36
"14","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",22
"15","01/07/2017","30/06/2019","Danilo Pantic","20","Partizan","Serbia",31
"16","25/08/2017","30/06/2018","Kenneth Omeruo","23","Kasimpasa","Turkey",28
"17","11/07/2017","31/05/2018","Ola Aina","20","Hull City","England",44
"18","01/07/2017","30/01/2018","Todd Kane","23","FC Groningen","Netherlands",11
"19","31/08/2017","31/12/2017","Nathan","21","SC Amiens","France",1
"20","31/01/2018","31/05/2018","Todd Kane","24","Oxford United","England",17
"21","18/01/2018","30/06/2018","Nathan","21","Belenenses","Portugal",13
"22","27/07/2017","31/05/2018","Jamal Blackman","23","Sheffield Utd.","England",31
