"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","02/02/2009","20/01/2010","Jô","21","Everton","England",12,"12,50 Mill. €  "," ","Manchester City"
"2","01/02/2009","25/05/2009","Tal Ben Haim","26","Sunderland","England",5,"4,00 Mill. €  "," ","Manchester City"
"3","01/03/2009","01/05/2009","Gunnar Nielsen","22","Wrexham","Wales",0,"250 Th. €  "," ","Manchester City"
"4","01/10/2008","01/12/2008","Ryan McGivern","18","Morecambe FC","England",6,"100 Th. €  "," ","Manchester City"
"5","01/04/2009","01/05/2009","Richard Martin","21","Burton Albion","England",0,"75 Th. €  "," ","Manchester City"
"6","01/08/2008","31/12/2008","Karl Moore","19","Millwall","England",6,"-  "," ","Manchester City"
"7","12/09/2008","12/10/2008","Donal McDermott","18","MK Dons","England",1,"-  "," ","Manchester City"
"8","01/01/2009","01/05/2009","Javan Vidal","19","Aberdeen FC","Scotland",13,"100 Th. €  "," ","Manchester City"
"9","01/11/2008","31/12/2008","Sam Williamson","21","Wrexham","Wales",0,"-  "," ","Manchester City"
"10","29/01/2009","28/02/2009","Paul Marshall","19","Blackpool","England",2,"-  "," ","Manchester City"
"11","06/03/2009","06/05/2009","Paul Marshall","19","Port Vale","England",13,"-  "," ","Manchester City"
"12","15/08/2008","15/09/2008","Clayton McDonald","19","Macclesfield","England",2,"-  "," ","Manchester City"
"13","02/02/2009","02/03/2009","Clayton McDonald","20","Chesterfield FC","England",2,"-  "," ","Manchester City"
"14","01/09/2008","01/10/2008","Javan Vidal","19","Grimsby Town","England",3,"-  "," ","Manchester City"
"15","01/11/2008","31/12/2008","Angelos Tsiaklis","19","Wrexham","Wales",0,"-  "," ","Manchester City"
