"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","29/01/2016","02/01/2017","Charly Musonda Jr.","19","Real Betis","Spain",8
"2","05/08/2016","31/05/2017","Tammy Abraham","18","Bristol City","England",41
"3","06/07/2016","30/06/2017","Jeremie Boga","19","Granada CF","Spain",26
"4","06/01/2017","31/05/2017","Isaiah Brown","19","Huddersfield","England",15
"5","22/07/2016","30/06/2017","Victorien Angban","19","Granada CF","Spain",10
"6","15/08/2016","05/01/2017","Isaiah Brown","19","Rotherham","England",20
"7","15/07/2016","31/05/2017","Kasey Palmer","19","Huddersfield","England",24
"8","31/08/2016","06/01/2017","Islam Feruz","20","Mouscron","Belgium",7
"9","16/01/2017","30/06/2017","Joao Rodríguez","20","Cortuluá","Colombia",0
"10","06/07/2016","31/12/2016","Joao Rodríguez","20","Indep. Santa Fe","Colombia",0
"11","31/08/2016","31/05/2017","Jake Clarke-Salter","18","Bristol Rovers","England",12
"12","01/01/2017","31/05/2017","Jay Dasilva","18","Charlton","England",10
"13","11/01/2017","31/05/2017","Charlie Colkett","20","Swindon Town","England",19
"14","11/01/2017","31/05/2017","Islam Feruz","21","Swindon Town","England",4
"15","11/01/2017","31/05/2017","Fankaty Dabo","21","Swindon Town","England",15
"16","23/01/2017","31/05/2017","Fikayo Tomori","19","Brighton","England",9
"17","29/01/2017","30/06/2017","Mukhtar Ali","19","Vitesse","Netherlands",6
"18","15/03/2016","22/07/2016","Alex Davey","21","Stabaek IF","Norway",0
"19","01/07/2016","02/01/2017","Mitchell Beeney","20","Crawley Town","England",1
"20","20/07/2016","31/05/2017","Alex Kiwomya","20","Crewe Alexandra","England",34
"21","06/08/2016","31/05/2017","Jordan Houghton","20","Doncaster","England",32
"22","11/08/2016","03/01/2017","Alex Davey","21","Crawley Town","England",14
"23","31/08/2016","05/01/2017","Charlie Colkett","19","Bristol Rovers","England",15
"24","31/08/2016","26/01/2017","Dion Conroy","20","Aldershot Town","England",15
"25","02/02/2017","30/06/2017","Miro Muheim","18","FC Zürich","Switzerland",0
"26","31/08/2016","30/06/2017","Juan Cuadrado","28","Juventus","Italy",30
"27","10/07/2015","30/06/2017","Andreas Christensen","19","Bor. M'gladbach","Germany",31
"28","01/01/2017","30/06/2018","Marco van Ginkel","24","PSV Eindhoven","Netherlands",15
"29","30/08/2016","31/05/2017","Loïc Rémy","29","Crystal Palace","England",5
"30","02/08/2016","30/06/2017","Abdul Rahman Baba","22","FC Schalke 04","Germany",13
"31","12/08/2016","30/06/2017","Bertrand Traoré","20","AFC Ajax","Netherlands",24
"32","27/08/2016","30/06/2017","Mario Pasalic","21","AC Milan","Italy",24
"33","30/08/2016","31/12/2016","Kenedy","20","Watford","England",1
"34","01/07/2015","30/06/2017","Lewis Baker","20","Vitesse","Netherlands",33
"35","01/07/2016","08/01/2017","Nathan Aké","21","Bournemouth","England",10
"36","30/08/2016","14/01/2017","Patrick Bamford","22","Burnley","England",6
"37","31/08/2016","30/06/2017","Christian Atsu","24","Newcastle","England",32
"38","13/07/2016","31/05/2017","Tomas Kalas","23","Fulham","England",36
"39","14/08/2016","30/06/2017","Michael Hector","24","E. Frankfurt","Germany",22
"40","31/08/2016","30/06/2018","Matt Miazga","21","Vitesse","Netherlands",23
"41","31/08/2016","31/05/2018","Lucas Piazón","22","Fulham","England",29
"42","31/08/2016","30/06/2017","Kenneth Omeruo","22","Alanyaspor","Turkey",26
"43","07/01/2016","30/06/2017","Wallace Oliveira","21","Grêmio","Brazil",0
"44","10/07/2015","30/06/2017","Nathan","19","Vitesse","Netherlands",27
"45","22/07/2016","30/06/2017","Matej Delac","23","Mouscron","Belgium",23
"46","31/08/2016","30/06/2017","Cristian Cuevas","21","Sint-Truiden","Belgium",18
"47","12/08/2016","30/06/2017","Danilo Pantic","19","SBV Excelsior","Netherlands",9
"48","15/08/2016","31/05/2017","Jamal Blackman","22","Wycombe","England",42
