"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","09/08/2018","31/05/2019","Tim Fosu-Mensah","20","Fulham","England",9,"7,00 Mill. €  "," ","Manchester United"
"2","06/08/2018","31/05/2019","Axel Tuanzebe","20","Aston Villa","England",19,"5,00 Mill. €  "," ","Manchester United"
"3","28/07/2018","31/05/2019","Cameron Borthwick-Jackson","21","Scunthorpe Utd.","England",26,"3,00 Mill. €  "," ","Manchester United"
"4","13/08/2018","31/05/2019","James Wilson","22","Aberdeen FC","Scotland",16,"1,50 Mill. €  "," ","Manchester United"
"5","02/08/2018","09/01/2019","Joel Pereira","22","Vitória Setúbal","Portugal",9,"1,00 Mill. €  "," ","Manchester United"
"6","31/01/2019","30/06/2019","Joel Pereira","22","KV Kortrijk","Belgium",0,"1,00 Mill. €  "," ","Manchester United"
