"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","08/08/2014","20/10/2014","Brad Smith","20","Swindon Town","England",7,"100 Th. €  "," ","Liverpool"
"2","16/03/2015","29/04/2015","Jerome Sinclair","18","Wigan","England",1,"100 Th. €  "," ","Liverpool"
"3","03/01/2015","15/02/2015","Lloyd Jones","19","Cheltenham Town","England",6,"-  "," ","Liverpool"
"4","03/01/2015","02/02/2015","Jack Dunn","20","Cheltenham Town","England",5,"-  "," ","Liverpool"
"5","17/01/2015","17/02/2015","Connor Randall","19","Shrewsbury","England",1,"-  "," ","Liverpool"
"6","12/03/2015","31/05/2015","Lloyd Jones","19","Accrington","England",11,"-  "," ","Liverpool"
"7","26/03/2015","26/04/2015","Jack Dunn","20","Burton Albion","England",1,"-  "," ","Liverpool"
"8","26/03/2015","31/05/2015","Jordan Lussey","20","Bolton U23","England",3,"-  "," ","Liverpool"
