"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","17/07/2018","31/05/2019","Harry Wilson","21","Derby","England",27,"8,00 Mill. €  "," ","Liverpool"
"2","22/07/2018","31/05/2019","Ryan Kent","21","Rangers","Scotland",17,"1,75 Mill. €  "," ","Liverpool"
"3","23/07/2018","11/01/2019","Taiwo Awoniyi","20","KAA Gent","Belgium",16,"1,50 Mill. €  "," ","Liverpool"
"4","25/07/2018","31/01/2019","Allan","21","E. Frankfurt","Germany",4,"1,00 Mill. €  "," ","Liverpool"
"5","15/02/2019","30/06/2019","Allan","21","Fluminense","Brazil",0,"1,00 Mill. €  "," ","Liverpool"
"6","01/07/2018","15/12/2018","Ovie Ejaria","20","Rangers","Scotland",14,"900 Th. €  "," ","Liverpool"
"7","07/01/2019","31/05/2019","Ovie Ejaria","21","Reading","England",6,"900 Th. €  "," ","Liverpool"
"8","22/08/2018","30/06/2019","Anderson Arroyo","18","KAA Gent","Belgium",0,"150 Th. €  "," ","Liverpool"
"9","06/01/2019","30/06/2019","Kamil Grabara","19","Aarhus GF","Denmark",3,"100 Th. €  "," ","Liverpool"
"10","24/07/2018","01/01/2019","Shamal George","20","Tranmere Rovers","England",0,"-  "," ","Liverpool"
"11","02/08/2018","31/05/2019","Herbie Kane","19","Doncaster","England",28,"-  "," ","Liverpool"
"12","31/08/2018","07/01/2019","Corey Whelan","20","Crewe Alexandra","England",16,"-  "," ","Liverpool"
"13","31/01/2019","31/05/2019","Liam Millar","19","Kilmarnock FC","Scotland",4,"-  "," ","Liverpool"
