"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/07/2003","30/06/2007","Souleymane Mamam","18","Royal Antwerp","Belgium",19,"300 Th. €  "," ","Manchester United"
"2","06/08/2002","03/05/2004","Hussein Yasser","19","Royal Antwerp","Belgium",9,"125 Th. €  "," ","Manchester United"
"3","01/08/2003","01/05/2004","Luke Chadwick","22","Burnley","England",36,"-  "," ","Manchester United"
"4","01/08/2003","31/05/2004","Bojan Djordjic","21","Red Star","Serbia",0,"-  "," ","Manchester United"
"5","01/07/2003","30/06/2004","Michael Stewart","22","Nottm Forest","England",13,"-  "," ","Manchester United"
"6","01/07/2003","30/06/2004","Ricardo","31","Racing","Spain",34,"-  "," ","Manchester United"
"7","01/09/2003","01/11/2003","Neil Wood","20","Peterborough","England",3,"-  "," ","Manchester United"
"8","02/01/2004","30/06/2004","Fabien Barthez","32","Marseille","France",20,"-  "," ","Manchester United"
"9","01/01/2004","01/02/2004","Paul Tierney","21","Colchester Utd.","England",2,"-  "," ","Manchester United"
"10","30/01/2004","18/05/2004","Phil Bardsley","18","Royal Antwerp","Belgium",5,"-  "," ","Manchester United"
"11","01/08/2003","01/05/2004","Eddie Johnson","18","Royal Antwerp","Belgium",10,"-  "," ","Manchester United"
"12","01/01/2004","30/06/2004","Mads Timm","19","Viking FK","Norway",4,"-  "," ","Manchester United"
"13","24/10/2003","29/12/2003","Alan Tate","21","Swansea","Wales",0,"-  "," ","Manchester United"
"14","01/07/2003","31/12/2003","Colin Heath","19","Royal Antwerp","Belgium",13,"-  "," ","Manchester United"
"15","25/11/2003","25/12/2003","Danny Byrne","18","Hartlepool Utd.","England",2,"-  "," ","Manchester United"
