"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","31/08/2016","31/05/2017","Wilfried Bony","27","Stoke City","England",10,"18,00 Mill. €  "," ","Manchester City"
"2","31/08/2016","30/06/2017","Samir Nasri","29","Sevilla FC","Spain",23,"16,00 Mill. €  "," ","Manchester City"
"3","31/08/2016","30/06/2017","Eliaquim Mangala","25","Valencia","Spain",30,"15,00 Mill. €  "," ","Manchester City"
"4","31/08/2016","30/06/2017","Joe Hart","29","Torino","Italy",36,"13,00 Mill. €  "," ","Manchester City"
"5","31/07/2015","02/01/2017","Stevan Jovetic","25","Inter","Italy",5,"10,00 Mill. €  "," ","Manchester City"
"6","23/07/2016","30/06/2017","Enes Ünal","19","FC Twente","Netherlands",32,"10,00 Mill. €  "," ","Manchester City"
"7","09/08/2016","31/12/2016","Gerónimo Rulli","24","Real Sociedad","Spain",38,"8,00 Mill. €  "," ","Manchester City"
"8","01/02/2016","31/05/2017","Patrick Roberts","18","Celtic","Scotland",32,"5,00 Mill. €  "," ","Manchester City"
"9","26/08/2016","30/06/2017","Oleksandr Zinchenko","19","PSV Eindhoven","Netherlands",12,"4,50 Mill. €  "," ","Manchester City"
"10","31/08/2016","31/05/2017","Jason Denayer","21","Sunderland","England",24,"4,00 Mill. €  "," ","Manchester City"
"11","25/08/2016","30/06/2017","Bersant Celina","19","FC Twente","Netherlands",27,"2,50 Mill. €  "," ","Manchester City"
"12","29/08/2016","15/01/2017","Bruno Zuculini","23","Rayo Vallecano","Spain",9,"1,20 Mill. €  "," ","Manchester City"
"13","19/01/2017","30/06/2017","Bruno Zuculini","23","Hellas Verona","Italy",16,"1,20 Mill. €  "," ","Manchester City"
"14","05/07/2016","31/05/2017","Aaron Mooy","25","Huddersfield","England",45,"1,00 Mill. €  "," ","Manchester City"
"15","06/08/2016","30/06/2017","Marlos Moreno","19","Dep. La Coruña","Spain",18,"1,00 Mill. €  "," ","Manchester City"
"16","19/01/2016","26/07/2017","Anthony Cáceres","23","Melbourne City","Australia",26,"600 Th. €  "," ","Manchester City"
"17","01/07/2016","30/06/2019","Luke Brattan","26","Melbourne City","Australia",25,"500 Th. €  "," ","Manchester City"
"18","14/07/2016","30/06/2017","Rubén Sobrino","24","Alavés","Spain",11,"500 Th. €  "," ","Manchester City"
"19","01/01/2017","30/06/2017","Pablo Maffeo","19","Girona","Spain",14,"500 Th. €  "," ","Manchester City"
"20","16/08/2016","30/06/2017","Pablo Marí","22","Girona","Spain",8,"400 Th. €  "," ","Manchester City"
"21","07/01/2017","30/06/2018","Manu García","19","NAC Breda","Netherlands",19,"2,00 Mill. €  "," ","Manchester City"
"22","31/07/2015","30/06/2017","Olivier Ntcham","19","Genoa","Italy",20,"1,80 Mill. €  "," ","Manchester City"
"23","01/07/2016","06/01/2017","Jack Byrne","20","Blackburn","England",4,"1,00 Mill. €  "," ","Manchester City"
"24","21/07/2016","30/06/2017","Yaw Yeboah","19","FC Twente","Netherlands",26,"1,00 Mill. €  "," ","Manchester City"
"25","16/08/2016","06/01/2017","Manu García","18","Depor. Alavés B","Spain",0,"1,00 Mill. €  "," ","Manchester City"
"26","09/02/2017","31/12/2018","Yangel Herrera","19","NYCFC","United States",18,"1,00 Mill. €  "," ","Manchester City"
"27","01/08/2012","31/12/2016","Nana Boateng","18","Strømsgodset","Norway",0,"800 Th. €  "," ","Manchester City"
"28","08/02/2017","31/12/2017","Chidiebere Nwakali","20","Sogndal","Norway",26,"600 Th. €  "," ","Manchester City"
"29","31/03/2016","31/12/2016","Chidiebere Nwakali","19","Start","Norway",0,"500 Th. €  "," ","Manchester City"
"30","30/08/2016","31/12/2016","Sinan Bytyqi","21","Go Ahead Eagles","Netherlands",4,"500 Th. €  "," ","Manchester City"
"31","31/01/2017","30/06/2017","Angeliño","20","RCD Mallorca","Spain",17,"500 Th. €  "," ","Manchester City"
"32","31/08/2016","30/06/2017","Shay Facey","21","Heerenveen","Netherlands",3,"400 Th. €  "," ","Manchester City"
"33","29/07/2016","31/01/2017","Divine Naah","20","Nordsjaelland","Denmark",5,"300 Th. €  "," ","Manchester City"
"34","01/01/2017","30/01/2017","Angeliño","19","Girona","Spain",0,"300 Th. €  "," ","Manchester City"
"35","01/07/2016","30/06/2018","Thomas Agyepong","19","NAC Breda","Netherlands",27,"250 Th. €  "," ","Manchester City"
"36","15/08/2016","30/06/2017","Brandon Barker","19","NAC Breda","Netherlands",22,"250 Th. €  "," ","Manchester City"
"37","31/08/2016","31/05/2017","Kean Bryan","19","Bury","England",12,"250 Th. €  "," ","Manchester City"
"38","17/01/2017","30/06/2017","James Horsfield","21","NAC Breda","Netherlands",16,"250 Th. €  "," ","Manchester City"
"39","10/07/2016","30/06/2017","Ashley Smith-Brown","20","NAC Breda","Netherlands",29,"200 Th. €  "," ","Manchester City"
"40","23/02/2017","26/07/2017","Divine Naah","20","Örebro SK","Sweden",13,"150 Th. €  "," ","Manchester City"
"41","28/01/2016","30/06/2017","Collins Tanor","18","Nordsjaelland","Denmark",2,"100 Th. €  "," ","Manchester City"
"42","13/08/2016","11/01/2017","George Glendon","21","Fleetwood","England",26,"100 Th. €  "," ","Manchester City"
"43","17/08/2016","13/08/2018","Ernest Agyiri","18","Vålerenga","Norway",6,"100 Th. €  "," ","Manchester City"
"44","31/01/2017","31/05/2017","David Faupala","19","Chesterfield FC","England",14,"75 Th. €  "," ","Manchester City"
"45","11/08/2016","01/01/2017","David Faupala","19","NAC Breda","Netherlands",3,"25 Th. €  "," ","Manchester City"
"46","17/08/2016","01/01/2017","Callum Bullock","18","Crewe U23","England",0,"-  "," ","Manchester City"
"47","02/09/2016","31/12/2016","Zackarias Faour","18","Midtjylland U19","Denmark",0,"-  "," ","Manchester City"
"48","19/01/2017","07/05/2017","Billy O'Brien","21","St. Mirren","Scotland",15,"-  "," ","Manchester City"
"49","31/01/2017","30/06/2017","Zackarias Faour","19","Nordsjaell. U19","Denmark",0,"-  "," ","Manchester City"
"50","02/01/2017","30/06/2017","Callum Bullock","19","Blackpool U21","England",0,"-  "," ","Manchester City"
