"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","07/01/2016","31/05/2016","Ashley Fletcher","20","Barnsley FC","England",20,"250 Th. €  "," ","Manchester United"
"2","18/07/2015","03/01/2016","Ben Pearson","20","Barnsley FC","England",23,"100 Th. €  "," ","Manchester United"
"3","18/07/2015","15/10/2015","Joe Rothwell","20","Barnsley FC","England",4,"100 Th. €  "," ","Manchester United"
"4","01/09/2015","12/01/2016","Liam Grimshaw","20","Motherwell FC","Scotland",14,"50 Th. €  "," ","Manchester United"
"5","01/09/2015","01/10/2015","Kieran O'Hara","19","Morecambe FC","England",5,"-  "," ","Manchester United"
"6","02/10/2015","07/01/2016","Donald Love","20","Wigan","England",7,"-  "," ","Manchester United"
"7","16/10/2015","03/01/2016","Joel Pereira","19","Rochdale","England",6,"-  "," ","Manchester United"
"8","12/01/2016","31/05/2016","Kieran O'Hara","19","Morecambe FC","England",5,"-  "," ","Manchester United"
"9","12/01/2016","20/02/2016","Dean Henderson","18","Stockport","England",0,"-  "," ","Manchester United"
