"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/02/2011","31/12/2013","Razak Nuhu","19","Strømsgodset","Norway",10,"600 Th. €  "," ","Manchester City"
"2","07/08/2010","31/05/2011","Kieran Trippier","19","Barnsley FC","England",39,"250 Th. €  "," ","Manchester City"
"3","01/08/2010","13/01/2011","David Ball","20","Swindon Town","England",18,"50 Th. €  "," ","Manchester City"
"4","13/08/2010","13/11/2010","Andrew Tutte","19","Rochdale","England",7,"50 Th. €  "," ","Manchester City"
"5","25/11/2010","31/01/2011","Andrew Tutte","20","Shrewsbury","England",2,"50 Th. €  "," ","Manchester City"
"6","01/02/2011","31/05/2011","Andrew Tutte","20","Yeovil Town","England",15,"50 Th. €  "," ","Manchester City"
"7","31/03/2011","31/12/2011","Omar Elabdellaoui","19","Strømsgodset","Norway",10,"50 Th. €  "," ","Manchester City"
