"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","18/08/2008","29/10/2008","Havard Nordtveit","18","UD Salamanca","Spain",3,"500 Th. €  "," ","Arsenal"
"2","10/03/2009","30/06/2009","Havard Nordtveit","18","Lillestrøm SK","Norway",17,"500 Th. €  "," ","Arsenal"
"3","01/08/2008","30/06/2009","Vincent van den Berg","19","PEC Zwolle","Netherlands",0,"150 Th. €  "," ","Arsenal"
"4","01/11/2008","01/05/2009","Abu Ogogo","18","Barnet","England",9,"-  "," ","Arsenal"
"5","01/01/2009","01/06/2009","Paul Rodgers","19","Northampt. Town","England",11,"-  "," ","Arsenal"
"6","30/01/2009","31/05/2009","Rui Fonte","18","Crystal Palace","England",10,"-  "," ","Arsenal"
"7","02/10/2008","31/12/2008","James Dunne","19","Nottm Forest","England",0,"-  "," ","Arsenal"
