"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","27/08/2008","30/06/2009","Philippe Senderos","23","AC Milan","Italy",14,"5,00 Mill. €  "," ","Arsenal"
"2","01/08/2008","01/05/2009","Armand Traoré","18","Portsmouth","England",19,"2,20 Mill. €  "," ","Arsenal"
"3","22/08/2008","25/05/2009","Nacer Barazite","18","Derby","England",30,"1,00 Mill. €  "," ","Arsenal"
"4","18/07/2007","30/06/2009","Pedro Botelho","17","UD Salamanca","Spain",28,"500 Th. €  "," ","Arsenal"
"5","01/01/2009","31/05/2009","Jay Simpson","20","West Brom","England",13,"500 Th. €  "," ","Arsenal"
"6","01/07/2008","01/05/2009","Kerrea Gilbert","21","Leicester","England",34,"300 Th. €  "," ","Arsenal"
"7","01/01/2009","30/06/2009","Gavin Hoyte","18","Watford","England",7,"50 Th. €  "," ","Arsenal"
"8","02/02/2009","25/05/2009","Henri Lansbury","18","Scunthorpe Utd.","England",16,"50 Th. €  "," ","Arsenal"
"9","01/01/2009","01/05/2009","Rene Steer","18","Gillingham FC","England",5,"-  "," ","Arsenal"
"10","18/08/2008","29/10/2008","Havard Nordtveit","18","UD Salamanca","Spain",3,"500 Th. €  "," ","Arsenal"
"11","10/03/2009","30/06/2009","Havard Nordtveit","18","Lillestrøm SK","Norway",17,"500 Th. €  "," ","Arsenal"
"12","01/08/2008","30/06/2009","Vincent van den Berg","19","PEC Zwolle","Netherlands",0,"150 Th. €  "," ","Arsenal"
"13","01/11/2008","01/05/2009","Abu Ogogo","18","Barnet","England",9,"-  "," ","Arsenal"
"14","01/01/2009","01/06/2009","Paul Rodgers","19","Northampt. Town","England",11,"-  "," ","Arsenal"
"15","30/01/2009","31/05/2009","Rui Fonte","18","Crystal Palace","England",10,"-  "," ","Arsenal"
"16","02/10/2008","31/12/2008","James Dunne","19","Nottm Forest","England",0,"-  "," ","Arsenal"
