"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","02/01/2012","28/03/2012","Federico Macheda","20","QPR","England",3,"3,00 Mill. €  "," ","Manchester United"
"2","21/02/2012","30/06/2012","Tomasz Kuszczak","29","Watford","England",13,"1,25 Mill. €  "," ","Manchester United"
"3","01/07/2011","30/06/2012","Bebé","20","Besiktas","Turkey",3,"1,00 Mill. €  "," ","Manchester United"
"4","01/07/2011","31/12/2011","Ritchie De Laet","22","Norwich","England",6,"1,00 Mill. €  "," ","Manchester United"
"5","23/08/2011","19/01/2012","Danny Drinkwater","21","Barnsley FC","England",17,"750 Th. €  "," ","Manchester United"
"6","01/08/2011","03/01/2012","Joshua King","19","Bor. M'gladbach","Germany",2,"250 Th. €  "," ","Manchester United"
"7","04/07/2011","24/02/2012","Ryan Tunnicliffe","18","Peterborough","England",26,"75 Th. €  "," ","Manchester United"
"8","08/09/2011","10/01/2012","Sam Johnstone","18","Scunthorpe Utd.","England",12,"-  "," ","Manchester United"
"9","16/08/2011","10/09/2011","Reece Brown","19","Doncaster","England",3,"-  "," ","Manchester United"
"10","16/01/2012","31/05/2012","Joshua King","20","Hull City","England",18,"-  "," ","Manchester United"
"11","02/03/2012","31/05/2012","Reece Brown","20","Oldham Athletic","England",15,"-  "," ","Manchester United"
"12","26/07/2011","01/08/2011","Sam Johnstone","18","Oldham Athletic","England",0,"-  "," ","Manchester United"
