"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","25/07/2017","10/01/2018","Isaiah Brown","20","Brighton","England",13,"5,00 Mill. €  "," ","Chelsea"
"2","24/07/2017","30/06/2018","Mason Mount","18","Vitesse","Netherlands",29,"4,00 Mill. €  "," ","Chelsea"
"3","28/08/2017","31/05/2018","Jeremie Boga","20","Birmingham","England",31,"2,50 Mill. €  "," ","Chelsea"
"4","04/07/2017","02/01/2018","Kasey Palmer","20","Huddersfield","England",4,"1,50 Mill. €  "," ","Chelsea"
"5","31/01/2018","31/05/2018","Kasey Palmer","21","Derby","England",15,"1,50 Mill. €  "," ","Chelsea"
"6","28/07/2017","31/05/2018","Victorien Angban","20","Waasl.-Beveren","Belgium",25,"1,00 Mill. €  "," ","Chelsea"
"7","31/08/2017","31/05/2018","Fikayo Tomori","19","Hull City","England",25,"1,00 Mill. €  "," ","Chelsea"
"8","08/01/2018","31/05/2018","Jake Clarke-Salter","20","Sunderland","England",11,"1,00 Mill. €  "," ","Chelsea"
"9","01/07/2017","30/06/2018","Fankaty Dabo","21","Vitesse","Netherlands",26,"600 Th. €  "," ","Chelsea"
"10","06/09/2017","30/06/2018","Joao Rodríguez","21","Tampico Madero","Mexico",9,"500 Th. €  "," ","Chelsea"
"11","06/07/2017","31/01/2018","Charlie Colkett","20","Vitesse","Netherlands",6,"400 Th. €  "," ","Chelsea"
"12","17/07/2017","03/01/2018","Ike Ugbo","18","Barnsley FC","England",16,"250 Th. €  "," ","Chelsea"
"13","21/07/2017","31/05/2018","Jay Dasilva","19","Charlton","England",38,"250 Th. €  "," ","Chelsea"
"14","04/01/2018","31/05/2018","Ike Ugbo","19","MK Dons","England",15,"250 Th. €  "," ","Chelsea"
"15","05/07/2017","31/12/2017","Josimar Quintero","20","Rostov","Russia",0,"200 Th. €  "," ","Chelsea"
"16","17/01/2018","30/06/2018","Josimar Quintero","20","Betis B","Spain",6,"200 Th. €  "," ","Chelsea"
"17","31/08/2017","31/05/2018","Jordan Houghton","21","Doncaster","England",37,"100 Th. €  "," ","Chelsea"
"18","22/02/2018","30/06/2018","Mitchell Beeney","22","Sligo Rovers","Ireland",26,"100 Th. €  "," ","Chelsea"
"19","02/07/2017","31/05/2018","Nathan Baxter","18","Woking FC","England",42,"-  "," ","Chelsea"
"20","07/07/2017","31/05/2018","Bradley Collins","20","Forest Green","England",39,"-  "," ","Chelsea"
"21","28/07/2017","31/05/2018","Jared Thompson","18","Chippenham","England",0,"-  "," ","Chelsea"
"22","31/08/2017","31/05/2018","Charlie Wakefield","19","Stevenage FC","England",0,"-  "," ","Chelsea"
