"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/10/2004","01/12/2004","Mikkel Bischoff","22","Wolves","England",11,"1,50 Mill. €  "," ","Manchester City"
"2","01/03/2005","30/06/2005","Mikkel Bischoff","23","Wolves","England",11,"1,50 Mill. €  "," ","Manchester City"
"3","01/01/2005","01/02/2005","Kevin Stuhr Ellegaard","21","Blackpool","England",2,"1,50 Mill. €  "," ","Manchester City"
"4","27/01/2005","09/05/2005","Christian Negouai","27","Coventry","England",1,"700 Th. €  "," ","Manchester City"
"5","10/11/2004","10/02/2005","Lee Croft","19","Oldham Athletic","England",12,"75 Th. €  "," ","Manchester City"
"6","01/03/2005","01/05/2005","Karl Bermingham","19","Lincoln City","England",2,"50 Th. €  "," ","Manchester City"
"7","01/12/2004","31/12/2004","Mark Redshaw","20","Caernarfon Town","Wales",0,"-  "," ","Manchester City"
"8","01/03/2005","01/05/2005","Carlos Logan","19","Chesterfield FC","England",9,"-  "," ","Manchester City"
