"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/02/2006","30/06/2006","Carlos Vela","16","Celta de Vigo","Spain",0,"3,00 Mill. €  "," ","Arsenal"
"2","01/08/2005","01/12/2005","David Bentley","20","Blackburn","England",29,"2,00 Mill. €  "," ","Arsenal"
"3","01/07/2005","24/08/2005","Jérémie Aliadière","22","Celtic","Scotland",0,"1,25 Mill. €  "," ","Arsenal"
"4","25/08/2005","30/01/2006","Jérémie Aliadière","22","West Ham","England",7,"1,25 Mill. €  "," ","Arsenal"
"5","31/01/2006","01/05/2006","Jérémie Aliadière","22","Wolves","England",14,"1,25 Mill. €  "," ","Arsenal"
"6","01/08/2005","30/06/2006","Justin Hoyte","20","Sunderland","England",27,"800 Th. €  "," ","Arsenal"
"7","01/07/2005","30/06/2006","Sebastian Svärd","22","Vit. Guimarães","Portugal",28,"700 Th. €  "," ","Arsenal"
"8","07/07/2005","01/05/2006","Graham Stack","23","Reading","England",1,"350 Th. €  "," ","Arsenal"
"9","01/10/2005","01/03/2006","Ryan Smith","18","Leicester","England",17,"250 Th. €  "," ","Arsenal"
