"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","27/01/2006","01/05/2006","Robbie Fowler","30","Liverpool","England",14,"4,50 Mill. €  "," ","Manchester City"
"2","01/03/2006","01/05/2006","Mikkel Bischoff","24","Sheff Wed","England",4,"1,10 Mill. €  "," ","Manchester City"
"3","04/11/2005","27/01/2006","Nicky Weaver","26","Sheff Wed","England",14,"700 Th. €  "," ","Manchester City"
"4","13/01/2006","31/01/2006","Kasper Schmeichel","19","Darlington","England",4,"250 Th. €  "," ","Manchester City"
"5","21/02/2006","31/05/2006","Kasper Schmeichel","19","Bury","England",15,"250 Th. €  "," ","Manchester City"
"6","01/08/2005","01/11/2005","Willo Flood","20","Coventry","England",8,"50 Th. €  "," ","Manchester City"
"7","01/08/2005","01/09/2005","Karl Bermingham","19","Burnley","England",4,"50 Th. €  "," ","Manchester City"
"8","21/10/2005","30/01/2006","Jonathan D'Laryea","20","Mansfield Town","England",29,"-  "," ","Manchester City"
