"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","30/08/2018","31/05/2019","Isaiah Brown","21","Leeds","England",0
"2","17/07/2018","31/05/2019","Mason Mount","19","Derby","England",19
"3","06/08/2018","31/05/2019","Fikayo Tomori","20","Derby","England",19
"4","02/07/2018","30/06/2019","Jake Clarke-Salter","20","Vitesse","Netherlands",12
"5","30/07/2018","31/05/2019","Kasey Palmer","21","Blackburn","England",11
"6","01/07/2018","31/05/2019","Trevoh Chalobah","18","Ipswich","England",20
"7","27/07/2018","31/05/2019","Victorien Angban","21","FC Metz","France",12
"8","31/08/2018","30/06/2019","Fankaty Dabo","22","Sparta R.","Netherlands",6
"9","12/07/2018","30/06/2019","Joao Rodríguez","22","CD Tenerife","Spain",10
"10","09/08/2018","31/05/2019","Jay Dasilva","20","Bristol City","England",8
"11","21/07/2018","31/05/2019","Charlie Colkett","21","Shrewsbury","England",1
"12","01/07/2018","31/05/2019","Reece James","18","Wigan","England",21
"13","30/08/2018","31/12/2018","Ike Ugbo","19","Scunthorpe Utd.","England",13
"14","31/08/2018","30/06/2019","Kylian Hazard","23","Cercle Brugge","Belgium",8
"15","10/08/2018","30/06/2019","Josimar Quintero","21","Lleida Esportiu","Spain",3
"16","14/07/2018","30/06/2019","Kyle Scott","20","Telstar","Netherlands",14
"17","01/07/2018","31/05/2019","Ruben Sammut","20","Falkirk FC","Scotland",9
"18","01/07/2018","31/05/2019","Nathan Baxter","19","Yeovil Town","England",16
"19","01/07/2018","31/05/2019","Dujon Sterling","18","Coventry","England",15
"20","26/07/2018","31/05/2019","Jacob Maddox","19","Cheltenham Town","England",18
"21","31/08/2018","02/01/2019","Bradley Collins","21","Burton Albion","England",8
