"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/02/2011","31/12/2013","Razak Nuhu","19","Strømsgodset","Norway",0,"600 Th. €  "," ","Manchester City"
"2","28/01/2014","31/05/2014","Emyr Huws","20","Birmingham","England",17,"300 Th. €  "," ","Manchester City"
"3","30/01/2014","30/06/2014","Razak Nuhu","22","Apol. Limassol","Cyprus",4,"300 Th. €  "," ","Manchester City"
"4","14/01/2014","01/12/2015","Godsway Donyoh","19","Falkenberg","Sweden",16,"200 Th. €  "," ","Manchester City"
"5","28/01/2013","01/12/2013","Godsway Donyoh","18","Djurgarden","Sweden",0,"100 Th. €  "," ","Manchester City"
"6","17/08/2013","30/06/2014","Luca Scapuzzi","22","Siena","Italy",12,"100 Th. €  "," ","Manchester City"
"7","26/08/2013","31/12/2013","Thomas Agyiri","19","TPS","Finland",14,"100 Th. €  "," ","Manchester City"
"8","01/08/2012","31/08/2013","Enock Kwakwa","18","Strømsgodset","Norway",0,"50 Th. €  "," ","Manchester City"
"9","02/09/2013","01/10/2013","Harry Bunn","20","Sheffield Utd.","England",2,"-  "," ","Manchester City"
"10","16/09/2013","02/01/2014","George Swan","19","Sheff Wed","England",0,"-  "," ","Manchester City"
"11","17/10/2013","17/11/2013","Alex Henshall","19","Bristol Rovers","England",2,"-  "," ","Manchester City"
"12","28/10/2013","31/05/2014","George Evans","18","Crewe Alexandra","England",23,"-  "," ","Manchester City"
"13","28/11/2013","04/01/2014","Ellis Plummer","19","Oldham Athletic","England",3,"-  "," ","Manchester City"
"14","28/11/2013","06/01/2014","Harry Bunn","21","Huddersfield","England",3,"-  "," ","Manchester City"
"15","11/10/2013","31/05/2014","Kieran Kennedy","20","Leicester U23","England",10,"-  "," ","Manchester City"
"16","24/03/2014","31/05/2014","Alex Henshall","20","Ipswich","England",0,"-  "," ","Manchester City"
