"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/09/2004","01/05/2005","Luke Steele","19","Coventry","England",32,"1,50 Mill. €  "," ","Manchester United"
"2","01/01/2005","31/12/2006","Fangzhuo Dong","19","Royal Antwerp","Belgium",0,"1,00 Mill. €  "," ","Manchester United"
"3","29/01/2005","31/05/2005","Kieran Richardson","20","West Brom","England",11,"500 Th. €  "," ","Manchester United"
"4","01/01/2005","01/05/2005","Chris Eagles","19","Watford","England",13,"500 Th. €  "," ","Manchester United"
"5","01/08/2004","30/06/2005","Michael Stewart","23","Heart of Midl.","Scotland",0,"350 Th. €  "," ","Manchester United"
"6","01/08/2004","01/05/2005","Eddie Johnson","19","Coventry","England",26,"250 Th. €  "," ","Manchester United"
"7","01/12/2004","01/05/2005","Paul Tierney","22","Bradford","England",16,"150 Th. €  "," ","Manchester United"
"8","01/12/2004","31/12/2004","Colin Heath","20","Cambridge Utd.","England",6,"50 Th. €  "," ","Manchester United"
