"","LoanStart","LoanEnd","PlayerNames","Age","PlayerLoanClub","clubCountry","PlayerAppearences","MarketValue","MarketFluctuation","club"
"1","01/10/2004","01/12/2004","David Fox","20","Shrewsbury","England",4,"400 Th. €  "," ","Manchester United"
"2","01/07/2002","30/06/2005","Arthur Gomez","18","Royal Antwerp","Belgium",0,"250 Th. €  "," ","Manchester United"
"3","01/01/2005","30/06/2005","Mads Timm","20","FK Lyn","Norway",1,"200 Th. €  "," ","Manchester United"
"4","23/12/2004","01/02/2005","Paul McShane","18","Walsall","England",4,"100 Th. €  "," ","Manchester United"
"5","01/01/2005","30/06/2005","Kenny Cooper Jr.","20","Coimbra","Portugal",10,"75 Th. €  "," ","Manchester United"
