"","LoanStart","LoanEnd","PlayerNamesChels","Age","PlayerLoanClub","clubCountry","PlayerAppearences"
"1","29/01/2016","02/01/2017","Charly Musonda Jr.","19","Real Betis","Spain",16
"2","31/08/2015","30/06/2016","Jeremie Boga","18","Stade Rennais","France",27
"3","04/08/2015","30/06/2016","Dominic Solanke","17","Vitesse","Netherlands",25
"4","14/07/2015","30/06/2016","Victorien Angban","18","Sint-Truiden","Belgium",19
"5","10/07/2015","30/06/2016","Isaiah Brown","18","Vitesse","Netherlands",22
"6","01/09/2015","26/01/2016","Islam Feruz","19","Hibernian FC","Scotland",6
"7","01/10/2015","31/05/2016","John Swift","20","Brentford","England",27
"8","03/08/2015","30/06/2016","Joao Rodríguez","19","Sint-Truiden","Belgium",10
"9","20/07/2015","03/01/2016","Jordan Houghton","19","Gillingham FC","England",11
"10","08/08/2015","02/01/2016","Alex Davey","20","Peterborough","England",7
"11","10/03/2016","31/05/2016","Jordan Houghton","20","Plymouth","England",10
"12","15/03/2016","22/07/2016","Alex Davey","21","Stabaek IF","Norway",5
"13","15/01/2016","25/02/2016","Mitchell Beeney","20","Newport County","England",4
"14","21/01/2016","21/02/2016","Alex Kiwomya","19","Fleetwood","England",4
